Date,BA close,NASDAQ close,COCA close,DELL close,GE close,GM close,IBM close,MD close,MSFT close,PEPSI close
3/4/2009,30.31,1353.74,10.7,8.88,6.69,2.2,89.49,53.15,16.12,47.6
3/3/2009,29.36,1321.01,10.53,9.15,7.01,1.99,87.77,52.43,15.88,48.47
3/2/2009,29.51,1322.85,10.69,8.43,7.6,2.01,89.05,51.85,15.79,46.85
2/27/2009,31.44,1377.84,11.48,8.53,8.51,2.25,92.03,52.25,16.15,48.14
2/26/2009,32.71,1391.47,11.8,8.21,9.1,2.38,88.97,52.2,16.42,49.42
2/25/2009,33.91,1425.43,12.15,8.36,9.01,2.55,85.9,53.79,16.96,50.72
2/24/2009,35.44,1441.83,12.27,8.26,9.08,2.22,86.4,54.26,17.17,51.68
2/23/2009,34.46,1387.72,11.98,7.99,8.85,1.77,84.37,53.37,17.21,50.16
2/20/2009,36.31,1441.23,12.3,8.41,9.38,1.77,88.79,54.07,18,51.45
2/19/2009,37.57,1442.82,12.51,8.12,10.06,2,88.93,54.8,17.91,52.2
2/18/2009,37.98,1467.97,12.46,8.65,10.55,2.06,91.51,55.89,18.12,51.53
2/17/2009,38.43,1470.66,12.85,8.88,10.5,2.18,90.67,55.17,18.09,51.82
2/13/2009,40.48,1534.36,13.4,9.12,11.11,2.5,93.84,56.29,18.96,52.57
2/12/2009,39.86,1541.71,12.98,9.17,11.35,2.65,95.07,56.44,19.13,52
2/11/2009,40.33,1530.5,13.1,9.02,11.6,2.74,95.16,56.55,19.08,50.61
2/10/2009,40.21,1524.73,11.95,9.16,11.29,2.7,93.27,56.75,18.67,49.53
2/9/2009,42.8,1591.56,12.41,9.64,12.28,2.83,96.82,58.48,19.31,51.43
2/6/2009,42.92,1591.71,12.62,9.46,10.78,2.84,96.14,57.92,19.53,53.53
2/5/2009,42.72,1546.24,12.05,9.43,10.54,2.86,91.91,57.82,18.91,52.35
2/4/2009,41.97,1515.05,11.86,9.79,10.94,2.72,92.33,57.33,18.5,51.49
2/3/2009,41.67,1516.3,11.71,9.77,11.05,2.85,92.97,58.34,18.37,51.52
2/2/2009,40.39,1494.43,11.33,9.31,11.29,2.89,90.44,57.37,17.71,50.13
1/30/2009,41.89,1476.42,11.23,9.5,11.78,3.01,91.15,57.49,16.98,50.23
1/29/2009,40.3,1507.84,12.06,9.95,12.36,3.18,92.01,57.6,17.47,51.68
1/28/2009,42.81,1558.34,12.33,10.88,13.11,3.42,94.31,58.65,17.92,52.04
1/27/2009,42.79,1504.9,12.2,10.07,12.69,3.35,91.16,57.98,17.54,51.64
1/26/2009,42.58,1489.46,12.02,10.31,12.07,3.38,91.1,57.86,17.51,51.42
1/23/2009,41.56,1477.29,11.58,10.14,11.69,3.49,89.01,57.49,17.08,50.62
1/22/2009,41.84,1465.49,11.65,9.98,13.1,3.32,89.58,58.18,16.99,50.35
1/21/2009,41.85,1507.07,11.5,10.2,12.66,3.53,90.93,58.16,19.25,50.44
1/20/2009,39.96,1440.86,11.07,9.85,12.56,3.5,81.54,56.54,18.35,50.43
1/16/2009,42.04,1529.33,11.66,10.27,13.56,3.93,84.46,59.12,19.58,51.37
1/15/2009,40.55,1511.84,11.43,10.54,13.38,3.92,83.66,57.45,19.11,50.53
1/14/2009,40.79,1489.64,11.29,10.31,13.71,3.85,82.74,56.8,18.96,51.1
1/13/2009,42.04,1546.46,11.9,10.76,14.51,4.02,84.88,58.77,19.69,52.23
1/12/2009,43.3,1538.79,11.77,10.65,15.38,4.15,85.25,59.61,19.34,51.39
1/9/2009,44.01,1571.59,12.2,11.12,15.54,4.03,84.24,59.52,19.39,52.57
1/8/2009,44.34,1617.01,12.54,11.27,15.68,4.04,86.71,59.96,19.98,53.25
1/7/2009,44.31,1599.06,12.24,11.15,15.65,4.13,87.31,60.68,19.38,53.89
1/6/2009,45.85,1652.38,12.63,11.05,16.38,3.94,88.75,61.57,20.62,55.7
1/5/2009,45.71,1628.03,12.86,10.61,16.16,3.71,86.35,62.97,20.38,55.6
1/2/2009,44.8,1632.21,12.36,10.75,16.58,3.65,86.9,63.16,20.19,55.97
12/31/2008,42.24,1577.03,12.03,10.24,15.74,3.2,83.7,61.62,19.31,54.77
12/30/2008,40.84,1550.7,11.97,10.23,15.37,3.8,83.1,61.17,19.21,54.88
12/29/2008,39.59,1510.32,11.58,10.34,15.21,3.6,80.81,59.82,18.83,54.07
12/26/2008,40.13,1530.24,11.85,10.65,15.51,3.66,80.89,60.5,19,54.56
12/24/2008,39.72,1524.9,11.77,10.65,15.65,3.25,80.08,60.72,19.04,54.54
12/23/2008,39.75,1521.54,11.61,10.83,15.66,3,80.16,60.09,19.15,54.17
12/22/2008,40.71,1532.35,11.72,10.96,15.32,3.52,81.55,60.83,19.05,53.75
12/19/2008,40.83,1564.32,11.78,11.09,15.73,4.49,83.07,59.76,18.99,54.09
12/18/2008,40.66,1552.37,11.58,11.36,15.21,3.66,83.55,60.73,19.17,54.71
12/17/2008,40.61,1579.31,10.69,11.68,16.57,4.37,85.38,62.05,19.53,54.33
12/16/2008,41.48,1589.89,10.68,11.79,17.08,4.25,85.93,62.34,19.97,54.21
12/15/2008,38.35,1508.34,10.2,11.13,16.16,4.08,82.32,60.13,18.91,52.42
12/12/2008,38.81,1540.72,10.43,11.48,16.31,3.94,81.76,60.03,19.23,52.03
12/11/2008,39.87,1507.88,10.38,11.69,16.25,4.12,80.14,60.31,19.32,52.71
12/10/2008,41.26,1565.48,10.31,12.02,17.16,4.6,82.41,61.09,20.47,53.01
12/9/2008,40.41,1547.34,9.7,11.86,16.95,4.7,82.24,59.13,20.46,52.27
12/8/2008,42.42,1571.74,10.01,12,18,4.93,84.4,60.36,20.87,53.6
12/5/2008,39.14,1509.31,10.18,10.71,17.01,4.08,80.15,62.14,19.73,53.37
12/4/2008,38.8,1445.56,9.16,10.27,16.73,4.11,77.02,60.28,18.98,52.33
12/3/2008,40.07,1492.38,9.31,10.55,17.28,4.9,80.23,59,19.73,54.08
12/2/2008,40.29,1449.8,8.81,10.52,16.78,4.85,79.41,56.52,19.02,54.02
12/1/2008,39.48,1398.07,9,10.05,14.77,4.59,76.48,55.65,18.48,53.22
11/28/2008,42.2,1535.57,9.18,11.17,16.37,5.24,81.16,58.21,20.08,56.26
11/26/2008,40.87,1532.1,8.83,11.05,15.43,4.81,81.23,57.37,20.35,54.5
11/25/2008,39.78,1464.73,8.59,10.42,15.03,3.56,80.21,55.79,19.85,53.58
11/24/2008,40.34,1472.02,8.52,10.14,14.54,3.59,79.46,54.51,20.55,55.23
11/21/2008,39.19,1384.35,8.06,9.3,13.37,3.06,74.47,54.16,19.55,54.16
11/20/2008,36.74,1316.12,7.68,9.81,12.24,2.88,71.35,51.96,17.41,49.9
11/19/2008,37.11,1386.42,8.42,10.35,13.77,2.79,75.56,54.45,18.17,51.69
11/18/2008,39.17,1483.27,9.01,10.6,15.31,3.09,79.65,55.5,19.49,52.73
11/17/2008,40.77,1482.05,8.8,10.52,15.35,3.18,77.06,54.61,19.06,52.56
11/14/2008,40.63,1516.85,9.1,10.89,15.27,3.01,79.9,55.12,19.79,53.1
11/13/2008,42.73,1596.7,9.58,10.27,16.07,2.95,83.75,55.24,20.96,55.16
11/12/2008,42.1,1499.21,8.84,10.5,15.53,3.08,79.31,53.05,20.03,52.69
11/11/2008,43.53,1580.9,9.63,11.33,16.98,2.92,82.29,55.28,20.91,54.65
11/10/2008,45.68,1616.74,10.04,11.86,17.59,3.36,83.42,55.47,21.01,54.18
11/7/2008,46.12,1647.4,9.81,12.55,17.98,4.36,85.8,54.48,21.21,54.93
11/6/2008,45.26,1608.7,9.57,12.03,17.48,4.8,84.69,53.2,20.6,54.42
11/5/2008,49.06,1681.64,10.1,12.77,19,5.56,88.96,55,21.78,56.57
11/4/2008,52.69,1780.12,10.28,12.93,19.8,5.72,92.38,56.74,23.21,57.88
11/3/2008,51.93,1726.33,9.83,12.61,18.4,5.65,91.67,56.01,22.31,57.02
10/31/2008,51.51,1720.95,9.97,12.2,18.6,5.79,91.95,56.89,22.03,56.57
10/30/2008,49.82,1698.52,9.74,12.25,18.44,6.07,89.7,56.83,22.32,56.63
10/29/2008,48.94,1657.21,9.17,12.13,18.3,6.76,87.24,56.15,22.69,54.57
10/28/2008,48.06,1649.47,9.26,13.15,18.58,6.25,86.33,55.6,22.79,55.39
10/27/2008,41.62,1505.9,8.71,11.74,16.9,5.45,78.79,50.83,20.89,51.09
10/24/2008,44.45,1552.03,8.81,11.5,16.99,5.95,81.17,52.11,21.66,51.36
10/23/2008,45.71,1603.91,8.93,11.99,17.92,6.1,83.43,54.58,22.02,53.06
10/22/2008,42.16,1615.75,10.95,11.98,18.07,6.19,82.69,53.21,21.24,53.22
10/21/2008,45.59,1696.68,11.69,12.58,19.4,6.54,87.89,54.14,23.04,54.57
10/20/2008,45.9,1770.03,11.51,13.37,19.2,6.53,91.5,55.82,24.39,56.32
10/17/2008,43.78,1711.29,11.09,13.04,18.71,6.43,89.79,52.84,23.61,53.46
10/16/2008,44.01,1717.71,11.16,13.21,18.96,6.4,90.52,53.48,23.86,52.67
10/15/2008,41.59,1628.33,11.15,12.58,18.35,6.22,87.32,50.63,22.35,50.85
10/14/2008,44.29,1779.01,11.6,14.08,19.87,6.54,92.58,55.02,23.77,53.98
10/13/2008,46.26,1844.25,11.88,15.21,20.02,6.51,91.2,56.22,25.16,61.29
10/10/2008,41.07,1649.51,9.92,13.29,20.49,4.89,86.79,52.39,21.21,57.35
10/9/2008,43.64,1645.12,12.03,13.43,18.12,4.76,88.03,51.15,22,59.06
10/8/2008,46.87,1740.33,13.34,13.5,19.68,6.91,89.56,52.45,22.7,63.11
10/7/2008,48.42,1754.88,14.05,13.55,19.35,7.56,94.6,53.98,22.92,64.61
10/6/2008,50.4,1862.96,14.96,14.86,20.38,8.48,99.52,56.13,24.57,66.12
10/3/2008,52.9,1947.39,15.78,15.25,20.56,9,102.31,59.15,25.96,68.46
10/2/2008,52.65,1976.72,16.16,15.79,21.11,9.03,103.59,60.77,25.9,70.36
10/1/2008,55.64,2069.4,16.78,16.15,23.35,9.45,108.93,62.52,26.12,71.08
9/30/2008,56.35,2091.88,16.63,16.48,24.3,9.45,115.68,60.59,26.33,70.71
9/29/2008,54.51,1983.73,16.04,15.41,22.02,8.51,113.21,59.08,24.67,69.12
9/26/2008,57.31,2183.34,17.2,17,24.07,9.76,118.11,62.07,27.03,71.15
9/25/2008,56.42,2186.57,17.07,16.93,24.48,10.03,118.8,61.15,26.25,70.74
9/24/2008,56.36,2155.68,16.65,16.7,23.44,10.35,115.19,60.33,25.37,69.55
9/23/2008,56.31,2153.34,16.97,16.33,23.78,10.72,114.1,60.67,25.1,70.2
9/22/2008,57.79,2178.98,17.03,16.57,24.92,11.58,114.94,61.45,25.06,70.53
9/19/2008,58.72,2273.9,17.57,16.63,25.37,13.08,117.55,62.83,24.82,72.62
9/18/2008,57.1,2199.1,17.36,17.25,23.63,11.4,113.86,62.81,24.92,72.66
9/17/2008,56.01,2098.85,17.16,16.19,22,9.93,110.25,61.4,24.24,71.12
9/16/2008,60.65,2207.9,17.63,15.98,23.57,10.84,114.78,63.14,25.64,72.41
9/15/2008,61.17,2179.91,18.35,17.99,23.14,11.44,113.93,62.58,26.46,71.79
9/12/2008,62.2,2261.27,17.93,19.04,25.16,13.01,117.67,62.91,27.25,72.58
9/11/2008,61.48,2258.22,17.57,19.18,26.48,12.75,117.9,63.4,26.97,72.05
9/10/2008,60.64,2228.7,16.93,19.31,26.42,11.42,116.75,62.07,26.08,71.27
9/9/2008,62.91,2209.81,17.06,19.3,26.45,10.76,113.78,62.06,25.75,70.45
9/8/2008,62.8,2269.76,17.22,20.17,27.36,10.83,116.01,61.3,25.77,69.79
9/5/2008,61.8,2255.88,16.74,20.41,26.22,10.71,113.08,59.22,25.3,68.38
9/4/2008,61.94,2259.04,16.59,20.36,26.05,10.68,113.74,58.94,25.99,67.86
9/3/2008,64.92,2333.73,17.07,20.31,26.87,11.27,117.05,60.61,26.54,68.65
9/2/2008,64.73,2349.24,17.46,20.83,26.83,10.65,117.11,61.78,26.73,68.5
8/29/2008,64.42,2367.52,16.86,21.73,26.43,10,120.4,60.89,26.92,67.53
8/28/2008,65.19,2411.64,17.04,25.21,27.11,10.34,123.22,61.76,27.56,68.23
8/27/2008,63.4,2382.46,16.8,25.63,26.54,10.2,122.03,60.6,27.19,68.24
8/26/2008,62.36,2361.97,16.62,25.17,26.59,10.04,121.16,60.65,26.9,67.75
8/25/2008,62.96,2365.59,17,25.04,26.63,10.13,121.52,60.6,27.29,68.09
8/22/2008,64.41,2414.71,17.04,25.27,27.39,10.44,123.56,61.91,27.46,68.93
8/21/2008,62.45,2380.38,16.73,25.21,27.04,9.92,121.64,60.82,26.81,68.43
8/20/2008,62.11,2389.08,17.05,24.97,26.95,10.16,121.17,60.94,26.92,68.88
8/19/2008,61.86,2384.36,17.23,24.44,27,9.95,121.22,60.97,26.95,69.13
8/18/2008,62.53,2416.98,17.43,24.63,27.6,10.36,123.23,61.78,27.21,68.84
8/15/2008,63.33,2452.52,17.57,25.06,28.03,11.18,124.98,62.11,27.33,69.23
8/14/2008,63.65,2453.67,17.6,25.3,27.76,11.35,125.55,62.08,27.42,68.97
8/13/2008,63.14,2428.62,17.46,25.13,27.57,10.26,124.42,61.28,27.42,68.77
8/12/2008,64.79,2430.61,17.59,25.33,27.97,11.1,123.85,62.41,27.63,68.65
8/11/2008,65.46,2439.95,17.7,25.19,28.17,10.76,125.22,64.38,27.41,68.31
8/8/2008,66.68,2414.1,17.4,25,27.88,10.03,127.4,64.1,27.64,68.39
8/7/2008,63.57,2355.73,16.64,24.99,26.87,9.75,127.64,60.38,26.91,67.01
8/6/2008,64.26,2378.37,17.25,25.25,27.27,10.25,127.75,60.66,26.55,67.59
8/5/2008,63.67,2349.83,17.2,25.11,27.51,10.69,126.97,60.84,25.75,67.57
8/4/2008,59.92,2285.56,16.94,25.39,26.49,10.1,125.68,59.11,24.84,66.73
8/1/2008,60.56,2310.96,16.78,24.41,26.53,10.23,124.77,58.34,25,65.71
7/31/2008,59.68,2325.55,16.72,24.57,26.61,11.07,126.09,58.36,25.27,65.64
7/30/2008,62.33,2329.72,16.58,24,27.25,11.4,126.96,59.01,25.77,65.98
7/29/2008,61.73,2319.62,16.66,24.01,26.71,11.9,125.77,58.28,25.66,66.05
7/28/2008,60.88,2264.22,16.54,23.24,26.04,11,124.38,56.41,25.06,65.78
7/25/2008,62.34,2310.53,16.69,23.47,27,11.9,126.63,57.25,25.7,66.29
7/24/2008,61.07,2280.11,16.83,23.42,27,13,128.08,56.98,25,66.46
7/23/2008,65.16,2325.88,17.15,23.81,27.58,14.62,127.61,58.24,25.97,66.78
